review_text,label_churn
Very disappointed. Extremely dissatisfied.,1
Refund requested. Won't recommend to anyone.,1
Very disappointed. Extremely dissatisfied.,1
Refund requested. I want a refund.,1
Awesome experience. Five stars.,0
Package arrived broken. Very poor quality.,1
Highly recommend. Five stars.,0
Fast delivery. Best purchase ever.,0
Horrible support. I want a refund.,1
Top quality. Thanks for the great service.,0
Horrible support. Extremely dissatisfied.,1
Refund requested. Very poor quality.,1
Package arrived broken. Worst experience of my life.,1
Fast delivery. Thanks for the great service.,0
Never buying again. Won't recommend to anyone.,1
Loved it. Everything was perfect.,0
Horrible support. Extremely dissatisfied.,1
Worst customer service. I want a refund.,1
Terrible experience. Worst experience of my life.,1
Package arrived broken. Won't recommend to anyone.,1
Top quality. Five stars.,0
Worst customer service. Extremely dissatisfied.,1
Delayed shipment. Worst experience of my life.,1
Will buy again. I'm impressed.,0
Loved it. Best purchase ever.,0
Friendly support. I'm impressed.,0
Awesome experience. Best purchase ever.,0
Will buy again. I'm impressed.,0
Friendly support. I'm impressed.,0
Horrible support. Very poor quality.,1
Top quality. I'm impressed.,0
Horrible support. I want a refund.,1
Loved it. Five stars.,0
Never buying again. Very poor quality.,1
Terrible experience. I want a refund.,1
Will buy again. Best purchase ever.,0
Never buying again. Extremely dissatisfied.,1
Delayed shipment. Very poor quality.,1
Never buying again. Very poor quality.,1
Amazing product. Thanks for the great service.,0
Amazing product. I'm impressed.,0
Friendly support. Thanks for the great service.,0
Very satisfied. Thanks for the great service.,0
Refund requested. Won't recommend to anyone.,1
Will buy again. Thanks for the great service.,0
Amazing product. Thanks for the great service.,0
Terrible experience. Won't recommend to anyone.,1
Terrible experience. Won't recommend to anyone.,1
Very disappointed. I want a refund.,1
Top quality. Five stars.,0
Highly recommend. Everything was perfect.,0
Fast delivery. Everything was perfect.,0
Very satisfied. Thanks for the great service.,0
Package arrived broken. Very poor quality.,1
Horrible support. Won't recommend to anyone.,1
Delayed shipment. Worst experience of my life.,1
Awesome experience. Thanks for the great service.,0
Will buy again. Best purchase ever.,0
Refund requested. Worst experience of my life.,1
Loved it. I'm impressed.,0
Delayed shipment. Worst experience of my life.,1
Terrible experience. Extremely dissatisfied.,1
Very satisfied. Best purchase ever.,0
Highly recommend. Five stars.,0
Product was defective. Extremely dissatisfied.,1
Very disappointed. Extremely dissatisfied.,1
Highly recommend. Best purchase ever.,0
Highly recommend. Thanks for the great service.,0
Product was defective. I want a refund.,1
Excellent service. Thanks for the great service.,0
Never buying again. Worst experience of my life.,1
Worst customer service. Very poor quality.,1
Awesome experience. Everything was perfect.,0
Amazing product. Thanks for the great service.,0
Highly recommend. Five stars.,0
Never buying again. Worst experience of my life.,1
Awesome experience. Thanks for the great service.,0
Very satisfied. Thanks for the great service.,0
Never buying again. Extremely dissatisfied.,1
Product was defective. Extremely dissatisfied.,1
Very disappointed. Worst experience of my life.,1
Horrible support. Won't recommend to anyone.,1
Refund requested. Very poor quality.,1
Will buy again. I'm impressed.,0
